Código Município Completo,Nº LOTE 2025,REGIÃO DE PLANEJAMENTO,regiao_upp,Nome_Município,mun_upp
2312007,LOTE 35,Sertão de Sobral,SERTÃO DE SOBRAL,Santana do Acaraú,SANTANA DO ACARAÚ
2312106,LOTE 25,Cariri,CARIRI,Santana do Cariri,SANTANA DO CARIRI
2312304,LOTE 29,Serra da Ibiapaba,SERRA DA IBIAPABA,São Benedito,SÃO BENEDITO
2312403,LOTE 16,Grande Fortaleza,GRANDE FORTALEZA,São Gonçalo do Amarante,SÃO GONÇALO DO AMARANTE
2312502,LOTE 39,Vale do Jaguaribe,VALE DO JAGUARIBE,São João do Jaguaribe,SÃO JOÃO DO JAGUARIBE
2312601,LOTE 16,Grande Fortaleza,GRANDE FORTALEZA,São Luís do Curu,SÃO LUÍS DO CURU
2312700,LOTE 31,Sertão Central,SERTÃO CENTRAL,Senador Pompeu,SENADOR POMPEU
2312809,LOTE 35,Sertão de Sobral,SERTÃO DE SOBRAL,Senador Sá,SENADOR SÁ
2312908,LOTE 33,Sertão de Sobral,SERTÃO DE SOBRAL,Sobral,SOBRAL
2313005,LOTE 31,Sertão Central,SERTÃO CENTRAL,Solonópole,SOLONÓPOLE
2313104,LOTE 39,Vale do Jaguaribe,VALE DO JAGUARIBE,Tabuleiro do Norte,TABULEIRO DO NORTE
2313203,LOTE 37,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Tamboril,TAMBORIL
2313252,LOTE 25,Cariri,CARIRI,Tarrafas,TARRAFAS
2313302,LOTE 38,Sertão dos Inhamuns,SERTÃO DOS INHAMUNS,Tauá,TAUÁ
2313351,LOTE 21,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Tejuçuoca,TEJUÇUOCA
2313401,LOTE 29,Serra da Ibiapaba,SERRA DA IBIAPABA,Tianguá,TIANGUÁ
2313500,LOTE 16,Grande Fortaleza,GRANDE FORTALEZA,Trairi,TRAIRI
2313559,LOTE 20,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Tururu,TURURU
2313609,LOTE 29,Serra da Ibiapaba,SERRA DA IBIAPABA,Ubajara,UBAJARA
2313708,LOTE 27,Centro Sul,CENTRO SUL,Umari,UMARI
2313757,LOTE 21,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Umirim,UMIRIM
2313807,LOTE 21,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Uruburetama,URUBURETAMA
2313906,LOTE 18,Litoral Norte,LITORAL NORTE,Uruoca,URUOCA
2313955,LOTE 34,Sertão de Sobral,SERTÃO DE SOBRAL,Varjota,VARJOTA
2314003,LOTE 22,Cariri,CARIRI,Várzea Alegre,VÁRZEA ALEGRE
2314102,LOTE 29,Serra da Ibiapaba,SERRA DA IBIAPABA,Viçosa do Ceará,VIÇOSA DO CEARÁ
