cod_ibge,regiao_plan,lote,nome_municipio,mun_upp,qtd_benef,qtd_cozinhas
2308377,LITORAL OESTE / VALE DO CURU,Lote 20,Miraíma,MIRAÍMA,399,4
2308401,CARIRI,Lote 23,Missão Velha,MISSÃO VELHA,300,3
2308500,SERTÃO CENTRAL,Lote 31,Mombaça,MOMBAÇA,400,4
2308609,SERTÃO DOS CRATEÚS,Lote 37,Monsenhor Tabosa,MONSENHOR TABOSA,462,5
2308708,VALE DO JAGUARIBE,Lote 39,Morada Nova,MORADA NOVA,880,8
2308807,SERTÃO DE SOBRAL,Lote 34,Moraújo,MORAÚJO,200,2
2308906,LITORAL NORTE,Lote 19,Morrinhos,MORRINHOS,293,3
2309003,SERTÃO DE SOBRAL,Lote 34,Mucambo,MUCAMBO,100,1
2309102,MACIÇO DE BATURITÉ,Lote 28,Mulungu,MULUNGU,100,1
2309201,CARIRI,Lote 25,Nova Olinda,NOVA OLINDA,300,3
2309300,SERTÃO DOS CRATEÚS,Lote 37,Nova Russas,NOVA RUSSAS,300,3
2309409,SERTÃO DOS CRATEÚS,Lote 36,Novo Oriente,NOVO ORIENTE,400,4
2309458,MACIÇO DE BATURITÉ,Lote 28,Ocara,OCARA,300,3
2309508,CENTRO SUL,Lote 27,Orós,ORÓS,200,2
2309607,GRANDE FORTALEZA,Lote 15,Pacajus,PACAJUS,800,8
2309706,GRANDE FORTALEZA,Lote 14,Pacatuba,PACATUBA,875,9
2309805,MACIÇO DE BATURITÉ,Lote 28,Pacoti,PACOTI,200,2
2309904,SERTÃO DE SOBRAL,Lote 34,Pacujá,PACUJÁ,300,3
2310001,VALE DO JAGUARIBE,Lote 39,Palhano,PALHANO,263,2
2310100,MACIÇO DE BATURITÉ,Lote 28,Palmácia,PALMÁCIA,200,2
2310209,GRANDE FORTALEZA,Lote 16,Paracuru,PARACURU,500,5
2310258,GRANDE FORTALEZA,Lote 16,Paraipaba,PARAIPABA,500,5
2310308,SERTÃO DOS INHAMUNS,Lote 38,Parambu,PARAMBU,480,5
2310407,SERTÃO DE CANINDÉ,Lote 32,Paramoti,PARAMOTI,200,2
2310506,SERTÃO CENTRAL,Lote 31,Pedra Branca,PEDRA BRANCA,400,4
2310605,CARIRI,Lote 24,Penaforte,PENAFORTE,299,3
2310704,LITORAL OESTE / VALE DO CURU,Lote 21,Pentecoste,PENTECOSTE,520,6
2310803,VALE DO JAGUARIBE,Lote 40,Pereiro,PEREIRO,200,2
2310852,GRANDE FORTALEZA,Lote 15,Pindoretama,PINDORETAMA,500,5
2310902,SERTÃO CENTRAL,Lote 31,Piquet Carneiro,PIQUET CARNEIRO,200,2
2310951,SERTÃO DE SOBRAL,Lote 34,Pires Ferreira,PIRES FERREIRA,200,2
2311009,SERTÃO DOS CRATEÚS,Lote 37,Poranga,PORANGA,198,2
2311108,CARIRI,Lote 24,Porteiras,PORTEIRAS,300,3
2311207,CARIRI,Lote 25,Potengi,POTENGI,206,2
2311231,VALE DO JAGUARIBE,Lote 40,Potiretama,POTIRETAMA,194,2
2311264,SERTÃO DOS INHAMUNS,Lote 38,Quiterianópolis,QUITERIANÓPOLIS,413,4
2311306,SERTÃO CENTRAL,Lote 30,Quixadá,QUIXADÁ,1100,11
2311355,CENTRO SUL,Lote 26,Quixelô,QUIXELÔ,400,4
2311405,SERTÃO CENTRAL,Lote 30,Quixeramobim,QUIXERAMOBIM,1195,12
2311504,VALE DO JAGUARIBE,Lote 39,Quixeré,QUIXERÉ,153,1
2311603,MACIÇO DE BATURITÉ,Lote 28,Redenção,REDENÇÃO,400,4
2311702,SERTÃO DE SOBRAL,Lote 34,Reriutaba,RERIUTABA,200,2
2311801,VALE DO JAGUARIBE,Lote 39,Russas,RUSSAS,343,4
2311900,CENTRO SUL,Lote 27,Saboeiro,SABOEIRO,300,3
2311959,CARIRI,Lote 25,Salitre,SALITRE,300,3
2312007,SERTÃO DE SOBRAL,Lote 35,Santana do Acaraú,SANTANA DO ACARAÚ,600,6
2312106,CARIRI,Lote 25,Santana do Cariri,SANTANA DO CARIRI,401,4
2312205,SERTÃO DOS CRATEÚS,Lote 37,Santa Quitéria,SANTA QUITÉRIA,899,8
2312304,SERRA DA IBIAPABA,Lote 29,São Benedito,SÃO BENEDITO,900,9
2312403,GRANDE FORTALEZA,Lote 16,São Gonçalo do Amarante,SÃO GONÇALO DO AMARANTE,700,7
2312502,VALE DO JAGUARIBE,Lote 39,São João do Jaguaribe,SÃO JOÃO DO JAGUARIBE,229,2
2312601,GRANDE FORTALEZA,Lote 16,São Luís do Curu,SÃO LUÍS DO CURU,300,3
2312700,SERTÃO CENTRAL,Lote 31,Senador Pompeu,SENADOR POMPEU,900,9
2312809,SERTÃO DE SOBRAL,Lote 35,Senador Sá,SENADOR SÁ,200,2
2312908,SERTÃO DE SOBRAL,Lote 33,Sobral,SOBRAL,2300,23
2313005,SERTÃO CENTRAL,Lote 31,Solonópole,SOLONÓPOLE,500,5
2313104,VALE DO JAGUARIBE,Lote 39,Tabuleiro do Norte,TABULEIRO DO NORTE,175,2
2313203,SERTÃO DOS CRATEÚS,Lote 37,Tamboril,TAMBORIL,622,7
2313252,CARIRI,Lote 25,Tarrafas,TARRAFAS,201,2
2313302,SERTÃO DOS INHAMUNS,Lote 38,Tauá,TAUÁ,590,6
2313351,LITORAL OESTE / VALE DO CURU,Lote 21,Tejuçuoca,TEJUÇUOCA,260,3
2313401,SERRA DA IBIAPABA,Lote 29,Tianguá,TIANGUÁ,1000,10
2313500,GRANDE FORTALEZA,Lote 16,Trairi,TRAIRI,500,5
2313559,LITORAL OESTE / VALE DO CURU,Lote 20,Tururu,TURURU,288,3
2313609,SERRA DA IBIAPABA,Lote 29,Ubajara,UBAJARA,500,5
2313708,CENTRO SUL,Lote 27,Umari,UMARI,100,1
2313757,LITORAL OESTE / VALE DO CURU,Lote 21,Umirim,UMIRIM,180,2
2313807,LITORAL OESTE / VALE DO CURU,Lote 21,Uruburetama,URUBURETAMA,502,6
2313906,LITORAL NORTE,Lote 18,Uruoca,URUOCA,200,2
2313955,SERTÃO DE SOBRAL,Lote 34,Varjota,VARJOTA,300,3
2314003,CARIRI,Lote 22,Várzea Alegre,VÁRZEA ALEGRE,800,8
2314102,SERRA DA IBIAPABA,Lote 29,Viçosa do Ceará,VIÇOSA DO CEARÁ,700,7
